"Detection","RecSN","dtf","Hex","Tilt","Volt","Temp","Pres","Amp","Freq","Thresh","nbw","snr","Valid","nPRI","tdiff","winmax"
"   3032","15-6003",2017-03-16 12:05:09,"00CA",91.4,3.78,22.1,0,12847,-426,100,25,54.2,1,5,5.01919221878052,2017-03-16 12:06:28
"   3033","15-6003",2017-03-16 12:05:24,"00CA",90.3,3.76,22.2,0,16582,80,100,26,56.1,1,5,15.0578157901764,2017-03-16 12:06:43
"   3034","15-6003",2017-03-16 12:05:29,"00CA",90.3,3.76,22.2,0,17352,70,100,23,57.6,1,5,5.01864004135132,2017-03-16 12:06:48
"  16298","15-6003",2017-06-08 10:35:43,"00CA",81.4,3.67,16.6,0,14944,-235,100,33,53.1,1,5,5.07355690002441,2017-06-08 10:37:02
"  16299","15-6003",2017-06-08 10:35:48,"00CA",88.8,3.64,16.3,0,15000,-232,100,24,55.9,1,5,5.07382607460022,2017-06-08 10:37:07
"  16300","15-6003",2017-06-08 10:35:53,"00CA",88.8,3.64,16.3,0,15072,-362,100,23,56.3,1,5,5.07379198074341,2017-06-08 10:37:12
"  16301","15-6003",2017-06-08 10:36:03,"00CA",90.7,3.68,16.9,0,15772,-326,100,25,56,1,5,10.1473150253296,2017-06-08 10:37:22
"  16302","15-6003",2017-06-08 10:36:08,"00CA",90.7,3.68,16.9,0,15289,-205,100,21,57.2,1,5,5.07356095314026,2017-06-08 10:37:27
"  16303","15-6003",2017-06-08 10:36:13,"00CA",90.7,3.68,16.9,0,14537,-378,100,24,55.6,1,5,5.07355713844299,2017-06-08 10:37:32
"  16304","15-6003",2017-06-08 10:36:19,"00CA",89.7,3.64,16.5,0,14542,-264,100,20,57.2,1,5,5.07363891601562,2017-06-08 10:37:38
"  16305","15-6003",2017-06-08 10:36:24,"00CA",89.7,3.64,16.5,0,15999,294,100,31,54.3,1,5,5.07309603691101,2017-06-08 10:37:43
"  16306","15-6003",2017-06-08 10:36:29,"00CA",89.3,3.68,16.7,0,17596,-40,100,27,56.3,1,5,5.07356095314026,2017-06-08 10:37:48
"  16307","15-6003",2017-06-08 10:36:34,"00CA",89.3,3.68,16.7,0,17457,-21,100,31,55,1,5,5.07340812683105,2017-06-08 10:37:53
"  16310","15-6003",2017-06-08 10:41:33,"00CA",70.1,3.02,16.7,0,16580,178,100,24,56.8,1,5,5.06402397155762,2017-06-08 10:42:52
"  16311","15-6003",2017-06-08 10:41:38,"00CA",70.1,3.02,16.7,0,15471,286,100,22,56.9,1,5,5.06387495994568,2017-06-08 10:42:57
"  16312","15-6003",2017-06-08 10:41:48,"00CA",71.6,3.01,17.4,0,14983,284,100,34,52.9,1,5,10.1280341148376,2017-06-08 10:43:07
"  16313","15-6003",2017-06-08 10:41:53,"00CA",71.6,3.01,17.4,0,16995,139,100,22,57.8,1,5,5.06406688690186,2017-06-08 10:43:12
"   3031","15-6003",2017-03-16 12:05:04,"00CA",90,3.78,22.2,0,3267,805,100,31,40.5,1,5,36.3568890094757,2017-03-16 12:06:23
"  16297","15-6003",2017-06-08 10:35:38,"00CA",81.4,3.67,16.6,0,16989,-118,100,42,52.1,1,5,7252208.56689906,2017-06-08 10:36:57
"  16309","15-6003",2017-06-08 10:41:28,"00CA",75.4,3.01,16.9,0,17374,74,100,28,55.9,1,5,293.960495948792,2017-06-08 10:42:47
"   8721","15-6003",2017-04-12 13:12:35,"2ECB",41.5,3.56,13.1,0,1225,-344,100,690,8.1,1,5,9.93345594406128,2017-04-12 13:13:54
"   8722","15-6003",2017-04-12 13:12:40,"2ECB",39.5,3.57,14.7,0,2640,671,100,615,15.8,1,5,4.96342611312866,2017-04-12 13:13:59
"   8723","15-6003",2017-04-12 13:12:45,"2ECB",39.5,3.57,14.7,0,2059,-39,100,549,14.6,1,5,4.96619486808777,2017-04-12 13:14:04
"   8724","15-6003",2017-04-12 13:12:50,"2ECB",39.5,3.57,14.7,0,2311,-26,100,575,15.2,1,5,4.96384310722351,2017-04-12 13:14:09
"   8725","15-6003",2017-04-12 13:12:59,"2ECB",41.2,3.56,14.6,0,1555,-577,100,614,11.2,1,5,9.93537592887878,2017-04-12 13:14:18
"   8726","15-6003",2017-04-12 13:13:04,"2ECB",41.2,3.56,14.6,0,3718,-38,100,513,20.3,1,5,4.97048687934875,2017-04-12 13:14:23
"   8727","15-6003",2017-04-12 13:13:14,"2ECB",50.3,3.57,14.2,0,1292,-650,100,512,11.1,1,5,9.93919205665588,2017-04-12 13:14:33
"   8720","15-6003",2017-04-12 13:12:25,"2ECB",41.5,3.56,13.1,0,936,-579,100,583,7.2,1,5,NA,2017-04-12 13:13:44
"   8672","15-6003",2017-04-12 04:40:47,"2ED1",49.8,3.56,13.9,0,678,-362,100,536,5.1,1,5,5.01908183097839,2017-04-12 04:42:06
"   8673","15-6003",2017-04-12 04:41:02,"2ED1",39,3.57,13.6,0,1014,-238,100,444,9.1,1,5,15.0622651576996,2017-04-12 04:42:21
"   8675","15-6003",2017-04-12 04:41:07,"2ED1",39,3.57,13.6,0,1278,-123,100,480,10.4,1,5,5.01596593856812,2017-04-12 04:42:26
"   8676","15-6003",2017-04-12 04:41:12,"2ED1",42.6,3.56,13.7,0,561,126,100,605,2.4,1,5,5.01942706108093,2017-04-12 04:42:31
"   8677","15-6003",2017-04-12 04:41:17,"2ED1",42.6,3.56,13.7,0,1322,-308,100,611,9.8,1,5,5.01709890365601,2017-04-12 04:42:36
"   8679","15-6003",2017-04-12 04:41:22,"2ED1",42.6,3.56,13.7,0,884,248,100,568,6.9,1,5,5.01715207099915,2017-04-12 04:42:41
"   8680","15-6003",2017-04-12 04:41:27,"2ED1",41.2,3.55,13.8,0,1934,36,100,593,13.4,1,5,5.01634097099304,2017-04-12 04:42:46
"   8681","15-6003",2017-04-12 04:41:32,"2ED1",41.2,3.55,13.8,0,1924,590,100,579,13.5,1,5,5.01721405982971,2017-04-12 04:42:51
"   8682","15-6003",2017-04-12 04:41:42,"2ED1",40.6,3.57,14.5,0,3140,-270,100,488,18.1,1,5,10.0353510379791,2017-04-12 04:43:01
"   8683","15-6003",2017-04-12 04:41:52,"2ED1",40.6,3.57,14.5,0,1816,197,100,598,12.7,1,5,10.0384697914124,2017-04-12 04:43:11
"   8685","15-6003",2017-04-12 04:42:02,"2ED1",36.7,3.56,13.8,0,3770,-274,100,545,19.9,1,5,10.0351917743683,2017-04-12 04:43:21
"   8686","15-6003",2017-04-12 04:42:07,"2ED1",36.7,3.56,13.8,0,7428,-131,100,530,26,1,5,5.02019000053406,2017-04-12 04:43:26
"   8687","15-6003",2017-04-12 04:42:17,"2ED1",48.3,3.56,14.8,0,1346,-252,100,544,11,1,5,10.0454602241516,2017-04-12 04:43:36
"   8689","15-6003",2017-04-12 04:42:42,"2ED1",39.9,3.57,13.7,0,1232,-695,100,544,10.2,1,5,25.1159660816193,2017-04-12 04:44:01
"   8690","15-6003",2017-04-12 04:42:47,"2ED1",39.9,3.57,13.7,0,880,-530,100,626,6.1,1,5,5.02520179748535,2017-04-12 04:44:06
"   8691","15-6003",2017-04-12 04:42:57,"2ED1",34.9,3.56,13.2,0,1235,-279,100,585,9.6,1,5,10.0504801273346,2017-04-12 04:44:16
