"Filename","RecSN","DT","FracSec","Hex","CRC","validFlag","TagAmp","NBW","nPRI","dtf","tdiff","winmax"
"2015-6034170371415","2015-6034","02/13/2017 19:07:26",0.972532,"00CA","14",1,15343,16,5,2017-02-13 19:07:26,5.10002899169922,2017-02-13 19:08:45
"2015-6034170371415","2015-6034","02/13/2017 19:07:32",0.071611,"00CA","14",1,15100,17,5,2017-02-13 19:07:32,5.0990788936615,2017-02-13 19:08:51
"2015-6034170371415","2015-6034","02/13/2017 19:07:37",0.170113,"00CA","14",1,14478,24,5,2017-02-13 19:07:37,5.09850215911865,2017-02-13 19:08:56
"2015-6034170371415","2015-6034","02/14/2017 10:11:59",0.487949,"00CA","14",1,14607,21,5,2017-02-14 10:11:59,5.05771684646606,2017-02-14 10:13:18
"2015-6034170371415","2015-6034","02/14/2017 10:12:04",0.545426,"00CA","14",1,14081,17,5,2017-02-14 10:12:04,5.05747699737549,2017-02-14 10:13:23
"2015-6034170371415","2015-6034","02/14/2017 10:12:09",0.603147,"00CA","14",1,14360,25,5,2017-02-14 10:12:09,5.05772113800049,2017-02-14 10:13:28
"2015-6034170371415","2015-6034","02/14/2017 10:12:14",0.660259,"00CA","14",1,13815,22,5,2017-02-14 10:12:14,5.05711197853088,2017-02-14 10:13:33
"2015-6034170371415","2015-6034","02/14/2017 10:12:24",0.774911,"00CA","14",1,16151,28,5,2017-02-14 10:12:24,10.1146519184113,2017-02-14 10:13:43
"2015-6034170371415","2015-6034","06/09/2017 11:38:47",0.641518,"00CA","14",1,13504,29,5,2017-06-09 11:38:47,5.02639222145081,2017-06-09 11:40:06
"2015-6034170371415","2015-6034","06/09/2017 11:38:57",0.694125,"00CA","14",1,13512,16,5,2017-06-09 11:38:57,10.0526068210602,2017-06-09 11:40:16
"2015-6034170371415","2015-6034","06/09/2017 11:39:02",0.720066,"00CA","14",1,15096,41,5,2017-06-09 11:39:02,5.02594113349915,2017-06-09 11:40:21
"2015-6034170371415","2015-6034","06/09/2017 11:39:12",0.772562,"00CA","14",1,14502,23,5,2017-06-09 11:39:12,10.0524959564209,2017-06-09 11:40:31
"2015-6034170371415","2015-6034","06/09/2017 11:39:22",0.82489,"00CA","14",1,14722,17,5,2017-06-09 11:39:22,10.0523278713226,2017-06-09 11:40:41
"2015-6034170371415","2015-6034","06/09/2017 11:39:27",0.851286,"00CA","14",1,15668,20,5,2017-06-09 11:39:27,5.02639603614807,2017-06-09 11:40:46
"2015-6034170371415","2015-6034","06/09/2017 11:39:32",0.877587,"00CA","14",1,586,24,5,2017-06-09 11:39:32,5.02630114555359,2017-06-09 11:40:51
"2015-6034170371415","2015-6034","02/13/2017 19:07:21",0.872503,"00CA","14",1,14930,24,5,2017-02-13 19:07:21,44529.3422291279,2017-02-13 19:08:40
"2015-6034170371415","2015-6034","02/14/2017 10:11:54",0.430232,"00CA","14",1,13763,23,5,2017-02-14 10:11:54,54257.2601189613,2017-02-14 10:13:13
"2015-6034170371415","2015-6034","06/09/2017 11:38:42",0.615126,"00CA","14",1,16180,40,5,2017-06-09 11:38:42,9941177.84021497,2017-06-09 11:40:01
"2015-6034170371415","2015-6034","04/11/2017 09:27:25",0.116347,"2ECB","57",1,2569,196,5,2017-04-11 09:27:25,24.8262050151825,2017-04-11 09:28:44
"2015-6034170371415","2015-6034","04/11/2017 09:27:30",0.084107,"2ECB","57",1,1749,196,5,2017-04-11 09:27:30,4.96775984764099,2017-04-11 09:28:49
"2015-6034170371415","2015-6034","04/11/2017 09:27:44",0.988952,"2ECB","57",1,1980,153,5,2017-04-11 09:27:44,14.9048449993134,2017-04-11 09:29:03
"2015-6034170371415","2015-6034","04/11/2017 09:27:49",0.96265,"2ECB","57",1,2482,191,5,2017-04-11 09:27:49,4.97369813919067,2017-04-11 09:29:08
"2015-6034170371415","2015-6034","04/11/2017 09:27:54",0.936491,"2ECB","57",1,1901,177,5,2017-04-11 09:27:54,4.97384095191956,2017-04-11 09:29:13
"2015-6034170371415","2015-6034","04/11/2017 09:27:59",0.906181,"2ECB","57",1,1235,139,5,2017-04-11 09:27:59,4.9696900844574,2017-04-11 09:29:18
"2015-6034170371415","2015-6034","04/11/2017 09:28:04",0.877147,"2ECB","57",1,1190,186,5,2017-04-11 09:28:04,4.97096586227417,2017-04-11 09:29:23
"2015-6034170371415","2015-6034","04/11/2017 09:28:19",0.787939,"2ECB","57",1,1996,141,5,2017-04-11 09:28:19,14.9107921123505,2017-04-11 09:29:38
"2015-6034170371415","2015-6034","04/11/2017 09:28:24",0.759299,"2ECB","57",1,1426,142,5,2017-04-11 09:28:24,4.97135996818542,2017-04-11 09:29:43
"2015-6034170371415","2015-6034","04/11/2017 09:28:29",0.729666,"2ECB","57",1,1606,166,5,2017-04-11 09:28:29,4.97036695480347,2017-04-11 09:29:48
"2015-6034170371415","2015-6034","04/11/2017 09:28:44",0.637765,"2ECB","57",1,1046,172,5,2017-04-11 09:28:44,14.9080989360809,2017-04-11 09:30:03
"2015-6034170371415","2015-6034","04/11/2017 09:28:59",0.551058,"2ECB","57",1,612,166,5,2017-04-11 09:28:59,14.9132931232452,2017-04-11 09:30:18
"2015-6034170371415","2015-6034","04/11/2017 09:29:09",0.496955,"2ECB","57",1,580,179,5,2017-04-11 09:29:09,9.94589686393738,2017-04-11 09:30:28
"2015-6034170371415","2015-6034","04/11/2017 09:29:14",0.468469,"2ECB","57",1,684,176,5,2017-04-11 09:29:14,4.97151398658752,2017-04-11 09:30:33
"2015-6034170371415","2015-6034","04/11/2017 09:29:19",0.440923,"2ECB","57",1,876,182,5,2017-04-11 09:29:19,4.97245407104492,2017-04-11 09:30:38
"2015-6034170371415","2015-6034","04/11/2017 09:29:24",0.413867,"2ECB","57",1,1141,196,5,2017-04-11 09:29:24,4.97294402122498,2017-04-11 09:30:43
"2015-6034170371415","2015-6034","04/11/2017 09:29:29",0.38781,"2ECB","57",1,539,172,5,2017-04-11 09:29:29,4.97394299507141,2017-04-11 09:30:48
"2015-6034170371415","2015-6034","04/11/2017 09:27:00",0.290142,"2ECB","57",1,1889,145,5,2017-04-11 09:27:00,39.7227261066437,2017-04-11 09:28:19
"2015-6034170371415","2015-6034","04/09/2017 10:18:50",0.717214,"2ED1","B4",1,364,152,5,2017-04-09 10:18:50,35.1470441818237,2017-04-09 10:20:09
"2015-6034170371415","2015-6034","04/09/2017 10:18:55",0.736507,"2ED1","B4",1,497,141,5,2017-04-09 10:18:55,5.0192928314209,2017-04-09 10:20:14
"2015-6034170371415","2015-6034","04/09/2017 10:19:00",0.75748,"2ED1","B4",1,704,122,5,2017-04-09 10:19:00,5.02097296714783,2017-04-09 10:20:19
"2015-6034170371415","2015-6034","04/09/2017 10:19:05",0.778966,"2ED1","B4",1,857,151,5,2017-04-09 10:19:05,5.02148604393005,2017-04-09 10:20:24
"2015-6034170371415","2015-6034","04/09/2017 10:19:20",0.836658,"2ED1","B4",1,1563,109,5,2017-04-09 10:19:20,15.0576920509338,2017-04-09 10:20:39
