"Detection","RecSN","dtf","Hex","Tilt","Volt","Temp","Pres","Amp","Freq","Thresh","nbw","snr","Valid","nPRI","tdiff","winmax"
"   3030","15-6003",2017-03-16 12:04:28,"00CA",91.6,3.77,22.1,0,14981,-522,100,28,54.6,1,5,NA,2017-03-16 12:05:47
"  16314","15-6003",2017-06-08 10:42:00,"00CA",72.1,3.01,16.8,0,16874,86,100,24,56.9,1,5,6.75027894973755,2017-06-08 10:43:19
"  16315","15-6003",2017-06-08 10:42:04,"00CA",72.1,3.01,16.8,0,16230,-145,100,23,57,1,5,4.61042809486389,2017-06-08 10:43:23
"  16317","15-6003",2017-06-08 10:42:09,"00CA",72.1,3.01,16.8,0,16052,76,100,24,56.5,1,5,5.06309795379639,2017-06-08 10:43:28
"  16318","15-6003",2017-06-08 10:43:10,"00CA",76.3,3.02,16.9,0,15814,13,100,29,54.7,1,5,60.7562539577484,2017-06-08 10:44:29
"   8728","15-6003",2017-04-12 13:14:14,"2ECB",51.9,3.56,13.7,0,607,-445,100,545,4,1,5,59.6517021656036,2017-04-12 13:15:33
"   2172","15-6003",2017-03-13 18:37:36,"2EE9",89.8,3.8,22.5,0,100,-1674,100,8,20,1,5,NA,2017-03-13 18:38:55
"   8395","15-6003",2017-04-07 14:02:13,"2EEB",42.8,3.59,13.7,0,743,1058,100,479,5.8,1,5,NA,2017-04-07 14:03:32
"   8396","15-6003",2017-04-07 14:02:33,"2EEB",42.9,3.57,13.6,0,847,1405,100,551,6.8,1,5,20.1558430194855,2017-04-07 14:03:52
"   2948","15-6003",2017-03-16 04:30:57,"2F53",89.9,3.77,11.6,0,118,-1608,100,23,14.2,1,5,NA,2017-03-16 04:32:16
"  11268","15-6003",2017-04-21 07:54:29,"2F53",44.3,3.52,14.9,0,1150,569,100,600,8.7,1,5,3122612.14439988,2017-04-21 07:55:48
"  11269","15-6003",2017-04-21 07:54:34,"2F53",44.3,3.52,14.9,0,1522,485,100,693,9.9,1,5,4.95434403419495,2017-04-21 07:55:53
"   1872","15-6003",2017-03-12 05:19:46,"30B5",89.8,3.81,10.6,0,109,-2137,100,14,17.8,1,5,NA,2017-03-12 05:21:05
"   7776","15-6003",2017-04-01 08:32:49,"3129",41.1,3.63,13.7,0,550,216,100,535,3.3,1,5,NA,2017-04-01 08:34:08
"   7777","15-6003",2017-04-01 08:33:24,"3129",37.8,3.63,13.5,0,777,-170,100,579,5.7,1,5,35.1932501792908,2017-04-01 08:34:43
"   7778","15-6003",2017-04-01 08:33:34,"3129",37.8,3.63,13.5,0,748,728,100,557,5.7,1,5,10.0606799125671,2017-04-01 08:34:53
"    506","15-6003",2017-03-05 14:46:28,"312D",89.8,3.86,10.1,0,90,2796,100,3,19.1,1,5,NA,2017-03-05 14:47:47
"  10619","15-6003",2017-04-18 06:41:17,"3215",38.4,3.52,13.5,0,1170,1969,100,646,8.3,1,5,NA,2017-04-18 06:42:36
"  11331","15-6003",2017-04-21 20:26:20,"3225",45.7,3.51,15.5,0,1018,562,100,578,8,1,5,NA,2017-04-21 20:27:39
"  11332","15-6003",2017-04-21 20:26:30,"3225",43.6,3.51,14.6,0,595,360,100,689,1.8,1,5,9.8443009853363,2017-04-21 20:27:49
"  11333","15-6003",2017-04-21 20:26:35,"3225",43.6,3.51,14.6,0,904,806,100,596,6.7,1,5,4.92412304878235,2017-04-21 20:27:54
"   7962","15-6003",2017-04-03 01:19:47,"3235",45.8,3.61,14.9,0,2135,59,100,611,14,1,5,NA,2017-04-03 01:21:06
"  11782","15-6003",2017-04-26 08:03:50,"3253",43.2,3.51,14.7,0,948,284,100,607,7,1,5,NA,2017-04-26 08:05:09
"  11783","15-6003",2017-04-26 08:04:11,"3253",41.6,3.49,14.8,0,680,-1177,100,684,3,1,5,20.1319680213928,2017-04-26 08:05:30
"   2001","15-6003",2017-03-12 23:54:32,"326D",89.8,3.81,13.5,0,80,-2312,100,8,18.1,1,5,NA,2017-03-12 23:55:51
"   8422","15-6003",2017-04-08 12:39:16,"326D",37.8,3.57,13.1,0,1036,961,100,673,6.8,1,5,2292283.79945707,2017-04-08 12:40:35
"   8423","15-6003",2017-04-08 12:39:36,"326D",41.8,3.58,13.2,0,1075,701,100,592,8.3,1,5,19.9865911006927,2017-04-08 12:40:55
"   8424","15-6003",2017-04-08 12:40:00,"326D",39.5,3.58,13.1,0,644,100,100,661,2.9,1,5,24.9918618202209,2017-04-08 12:41:19
"   8249","15-6003",2017-04-05 12:09:04,"328A",36.9,3.6,14.9,0,1644,695,100,627,11.5,1,5,NA,2017-04-05 12:10:23
