"Filename","RecSN","DT","FracSec","Hex","CRC","validFlag","TagAmp","NBW","nPRI","dtf","tdiff","winmax"
"2015-6034170371415","2015-6034","02/12/2017 20:40:31",0.946932,"00C9","75",0,88,0,5,2017-02-12 20:40:31,NA,2017-02-12 20:41:50
"2015-6034170371415","2015-6034","02/13/2017 11:10:12",0.881825,"00C9","CC",0,119,40,5,2017-02-13 11:10:12,52180.9348928928,2017-02-13 11:11:31
"2015-6034170371415","2015-6034","02/13/2017 20:05:25",0.553662,"00C9","19",0,126,70,5,2017-02-13 20:05:25,32112.6718370914,2017-02-13 20:06:44
"2015-6034170371415","2015-6034","02/09/2017 12:36:12",0.745679,"00CA","00",0,104,15,5,2017-02-09 12:36:12,NA,2017-02-09 12:37:31
"2015-6034170371415","2015-6034","02/10/2017 16:33:55",0.801477,"00CA","F3",0,88,8,5,2017-02-10 16:33:55,100663.055798054,2017-02-10 16:35:14
"2015-6034170371415","2015-6034","02/13/2017 06:41:48",0.454708,"00CA","14",1,13889,24,5,2017-02-13 06:41:48,223672.653231144,2017-02-13 06:43:07
"2015-6034170371415","2015-6034","02/13/2017 06:41:53",0.528159,"00CA","14",1,15578,15,5,2017-02-13 06:41:53,5.07345080375671,2017-02-13 06:43:12
"2015-6034170371415","2015-6034","02/13/2017 06:45:07",0.462247,"00CA","14",1,13689,28,5,2017-02-13 06:45:07,193.934087991714,2017-02-13 06:46:26
"2015-6034170371415","2015-6034","02/13/2017 06:45:12",0.530274,"00CA","14",1,13580,15,5,2017-02-13 06:45:12,5.06802701950073,2017-02-13 06:46:31
"2015-6034170371415","2015-6034","02/13/2017 13:43:28",0.867831,"038C","E7",0,100,17,5,2017-02-13 13:43:28,NA,2017-02-13 13:44:47
"2015-6034170371415","2015-6034","02/13/2017 20:05:15",0.953993,"038C","73",0,133,69,5,2017-02-13 20:05:15,22907.0861620903,2017-02-13 20:06:34
"2015-6034170371415","2015-6034","02/13/2017 20:06:54",0.079711,"038C","00",0,120,55,5,2017-02-13 20:06:54,98.1257178783417,2017-02-13 20:08:13
"2015-6034170371415","2015-6034","02/13/2017 20:07:30",0.755052,"038C","77",0,105,53,5,2017-02-13 20:07:30,36.675341129303,2017-02-13 20:08:49
"2015-6034170371415","2015-6034","02/14/2017 02:19:00",0.708003,"038C","17",0,108,48,5,2017-02-14 02:19:00,22289.9529509544,2017-02-14 02:20:19
"2015-6034170371415","2015-6034","02/14/2017 02:26:16",0.982518,"038C","1C",0,115,58,5,2017-02-14 02:26:16,436.274514913559,2017-02-14 02:27:35
"2015-6034170371415","2015-6034","02/26/2017 12:20:26",0.41901,"038C","DA",1,13086,23,5,2017-02-26 12:20:26,1072449.43649197,2017-02-26 12:21:45
"2015-6034170371415","2015-6034","02/10/2017 04:48:46",0.673975,"2ECB","A6",0,73,0,5,2017-02-10 04:48:46,NA,2017-02-10 04:50:05
"2015-6034170371415","2015-6034","02/10/2017 16:03:47",0.688556,"2ECB","C4",0,103,8,5,2017-02-10 16:03:47,40501.014580965,2017-02-10 16:05:06
"2015-6034170371415","2015-6034","04/11/2017 09:26:20",0.567416,"2ECB","57",1,730,133,5,2017-04-11 09:26:20,5160152.87886,2017-04-11 09:27:39
"2015-6034170371415","2015-6034","04/11/2017 09:30:48",0.978246,"2ECB","57",1,524,153,5,2017-04-11 09:30:48,79.5904359817505,2017-04-11 09:32:07
"2015-6034170371415","2015-6034","02/10/2017 15:26:21",0.478353,"2ECD","09",0,108,6,5,2017-02-10 15:26:21,NA,2017-02-10 15:27:40
"2015-6034170371415","2015-6034","02/13/2017 08:07:25",0.487287,"2ECD","81",0,92,8,5,2017-02-13 08:07:25,232864.008934021,2017-02-13 08:08:44
"2015-6034170371415","2015-6034","02/13/2017 12:19:38",0.410971,"2ECD","53",0,94,4,5,2017-02-13 12:19:38,15132.9236838818,2017-02-13 12:20:57
"2015-6034170371415","2015-6034","02/14/2017 01:19:25",0.179958,"2ECD","E8",0,96,8,5,2017-02-14 01:19:25,46786.7689871788,2017-02-14 01:20:44
"2015-6034170371415","2015-6034","02/14/2017 02:31:23",0.056342,"2ECD","3B",0,98,50,5,2017-02-14 02:31:23,4317.87638378143,2017-02-14 02:32:42
"2015-6034170371415","2015-6034","02/07/2017 18:25:54",0.719745,"2ED1","1C",0,93,0,5,2017-02-07 18:25:54,NA,2017-02-07 18:27:13
"2015-6034170371415","2015-6034","02/12/2017 01:48:40",0.021045,"2ED1","0E",0,84,0,5,2017-02-12 01:48:40,372165.301300049,2017-02-12 01:49:59
"2015-6034170371415","2015-6034","02/12/2017 02:40:10",0.901245,"2ED2","86",0,89,0,5,2017-02-12 02:40:10,NA,2017-02-12 02:41:29
"2015-6034170371415","2015-6034","02/06/2017 23:56:14",0.374573,"2ED3","88",0,90,0,5,2017-02-06 23:56:14,NA,2017-02-06 23:57:33
"2015-6034170371415","2015-6034","02/08/2017 20:28:47",0.244085,"2ED3","22",0,95,0,5,2017-02-08 20:28:47,160352.869512081,2017-02-08 20:30:06
